username,tweet
meccaellaaaa,Happy 18th birthday @edelleangel_ I miss you &amp; I love you 
chezkagyl,guess im late but happy 18th birthday my boi 
dmngzcryst,Happy 18th birthday mends! I love you 
Kyle_Braganza,"HAPPY BIRTHDAY ATE DAAAN!! AKONG RESEARCH MATE, AMONG OUTSTANDING PRESIDENT, AND OUR FRIEND :””)) omg i’m so proud na legal naka so always do well like you always do uwu. I hope you are enjoying your 18th birthday right now despite the situation... mao lang te God bless "
hazelovesyoukxo,When we get out it’s gonna be happy 18th birthday hazel I’m reclaiming my time
itsmarvinc,"Tanda mo n buset pero pang gr7 pa rin height mu. Happy 18th Birthday, Trish! "
army_paola0224,Happy happy 18th Birthday @kensanjose_ You were just 13 years old when I started to be your fan and now you’re already 18. Time flies really so fast. I wish you all the best and We love you Ken #KenSanJoseTurns18
ReaLizQuendall,HAPPY 18TH BIRTHDAY!!! 
avygil_,"Happy 18th birthday bal thankyou for always at my side and being a supportive bf on whatever I like may god bless you more, iloveyou mwa! "
Reabelxxx,"Happy 18th Birthday, Babe @Chikreet_! HAHAHAHA legal ka na uy yiiieeee dito ko lang ipost kay kahiya sa FB chour human na ko'g speech so no need na dire ILOVEYOU FOREVER have a blast! Mwaa "
kymconsorte,"Happy 18th Birthday, Marieeee !! hihi HAHAHAHAHA "
madika04,Happy 18th Birthday @MadisonWacker DOUBLE COMPLETE RAINBOW AND ALL!!
ReneeTa73959780, We Love You~HAPPY 18th BIRTHDAY 
thecyntdoll,"Life graduated , went to proms , got my permit had my 16th birthday and 18th birthday never heard from him and today he pops up today I was so in shock y’all honestly and truthfully I was happy but angry like I don’t know what to call it"
milz_10,Happy 18th Birthday Self HAhhahha padayon lang atong kinabuhi ani noh 
jeysixual,HAPPY 18th Birthday Baklaaaaa 
Dessa61516,Sasagadin ko na hanggang dito sa twitter babatiin kita. HAPPY 18TH BIRTHDAY BIKO.IMISSYOUU&amp;ILOVEYOU @andrysrno
peightyyyy,"Happy 18th Birthday jowaaaa, miss u @AnielCrisel"
mattdmss_,"HAPPY 18TH BIRTHDAY VERONICA!! HAHAHAHAHA MBTC, THANKYOU SA LAHAT AT PA WAFFLE KA NA YUNG DI DEFORMED @Queen_Trajano"
dyiemsparrow,HAPPY HAPPY 18th BIRTHDAY APRIL! STAY SAFE TA ALWAYS DINHA HA 
SmartHomeWizard,Happy 18th Birthday to my daughter Lauren! I am incredibly proud of you! You will be a great oboe and English Horn player. Can't wait to see how you do adulting! 
quartoporto2,"happy 18th birthday to my baby brother! also happy birthday to my mom! yes, she had him on her birthday "
marneilc,"Since 18th birthday nimo, ipagawas jud nako ning vid na ni kay para special ba HAHAHAHAHA. Mingaw na mi ninyo!!! Come to think of it, wa jud ta nag uban ug legit na shat HAHAHAH JK musali na ko pag magkita ta ulit. Anyways, HAPPY BIRTHDAY @francesxcz amping mo pirme!!"
Tess_Nicole_,Happy 18th birthday to my not so little sister 
jan_brown5,Happy 18th Birthday @Blake_Brown3. You have such a great group of friends. They celebrated you quarantine style 
Moniquetorresss,Happy 18th birthday ate april 
Ophilly,"On April 9, 2002 Kierra Azariah Smith was born. I just want to wish my loving daughter a Happy 18th Birthday. Kierra I just want u to know that I am so blessed to be your dad. You are… https://www.instagram.com/p/B-yGfvUHDHJ8tzmbjzDAbXv2EfhDHpqNfl1Ggc0/?igshid=pl0lrvgyi4ei"
ErickaCamero_,Happy 18th @ccaammz God bless you sitmit More birthdays to come mwahhh 
3sha_sexy,Happy birthday mahal ko enjoy your 18th birthday wish you all the best iloveyou keepsafe 
palao_andrea,"@kensanjose_ happy happy 18th birthday kenny i'm so so proud of you let your self do everything that you like most in life, may ur big day be careful and happy wishing u the abundance of fun and glory happy birthday boy #KenSanJoseTurns18"
shairamapoyy,"happy 18th birthday, @_NicoleHood!! we've been through a lot of ups and downs together and i can't be more grateful kasi lumalaban pa din naman tayo kahit papano hehehe hindi man tayo madalas magkita or magkasama this SY, but pls know that i'm always here to listen, guide and ++"
AiaElijah,Happy monthsary eps joke ala ka na pala jowa chaaar happy 18th birthday eps gulang ka eon pwede ka eon makulong abangan ko dun charoot hahaha happy birthday uman eps labyuuu 
newnelyn,Happy 18th Birthday @kensanjose_ keep safe always 
hasrrb,HAPPY BIRTHDAY HANNAH!!! Thank you for being a great and funny person and letting me meet some amazing people through your fanbase. I had a bday gift for you but because of quarantine I didnt finish it yet.Not an edit. You have to wait srry.Have an amazing 18th bday @antihan_
arvin_lazarte,"Happy 18th Birthday, Snowflake! You know how much I love you hehe Isa lang gyd akong hangyo, ayaw na pagtweet pag magaway ta HAHAHAHHAHAHAHAHAHAHAHA ILOVEYOUSOMUCHH "
alwayswithcake,"My Son's 18th Birthday Cake. A few of his favorite thing - Ford Mustang, Naruto, Lego and Starbucks. Happy Birthday, Z! #18thbirthday #ford #mustang #naruto #legos #carmamassaticino #handpainted #azcakeartist… https://www.instagram.com/p/B-yCz0lgZC5/?igshid=j0n096aud7oh"
bebie_gurl,@kensanjose_ Happy 18th birthday #KenSanJoseTurns18
