age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo,,,
71,1.25342778406974E+018,https://twitter.com/OzzyOsbourne/status/1253427784069742592,OzzyOsbourne,,Past tours exclusive merch last bits of remaining stock available until sold out! April is #ParkinsonsAwarenessMonth so 10% of ALL sales going directly to @MichaelJFoxOrg for #Parkinsons Research. Shop now at http://stores.ebay.com/ozzfest,2020-04-23 20:57:25+00:00,48,393,@MichaelJFoxOrg,#ParkinsonsAwarenessMonth #Parkinsons,1.25342778406974E+018,,,
71,1.25333977876377E+018,https://twitter.com/OzzyOsbourne/status/1253339778763767811,OzzyOsbourne,,1985 #tbt,2020-04-23 15:07:43+00:00,243,2659,,#tbt,1.25333977876377E+018,,,
71,1.25298732744343E+018,https://twitter.com/OzzyOsbourne/status/1252987327443431424,OzzyOsbourne,,Free Face Mask with New Shirt! https://gtly.to/Vd29dV_di,2020-04-22 15:47:12+00:00,371,2033,,,1.25298732744343E+018,,,
71,1.252617368167E+018,https://twitter.com/OzzyOsbourne/status/1252617368167002118,OzzyOsbourne,,"The only other official live album featuring Randy Rhoads on guitar besides ‘Tribute’ was release on @RecordStoreDay April 21, 2011 along with the reissued ‘Believer’ 7” single. Who has these in their collection?",2020-04-21 15:17:07+00:00,247,2132,@recordstoreday,,1.252617368167E+018,,,
71,1.2522399539557E+018,https://twitter.com/OzzyOsbourne/status/1252239953955700739,OzzyOsbourne,,Happy 4/20!,2020-04-20 14:17:25+00:00,2635,11628,,,1.2522399539557E+018,,,
71,1.25191257988405E+018,https://twitter.com/OzzyOsbourne/status/1251912579884052485,OzzyOsbourne,,Had a chat with @Quibi about recording ‘Ordinary Man’ with producer Andrew Watt. Catch the full interview on the Quibi app now,2020-04-19 16:36:33+00:00,183,1228,@Quibi,,1.25191257988405E+018,,,
71,1.25152958030261E+018,https://twitter.com/OzzyOsbourne/status/1251529580302614530,OzzyOsbourne,,"April 18, 1984 at the @BeverlyWilshire Hotel in Beverly Hills, CA",2020-04-18 15:14:38+00:00,232,2494,@BeverlyWilshire,,1.25152958030261E+018,,,
71,1.25117254718754E+018,https://twitter.com/OzzyOsbourne/status/1251172547187535872,OzzyOsbourne,,#FBF,2020-04-17 15:35:55+00:00,506,4537,,#FBF,1.25117254718754E+018,,,
71,1.25079335126932E+018,https://twitter.com/OzzyOsbourne/status/1250793351269322754,OzzyOsbourne,,April 1986 at @WWE’s #Wrestlemania 2 with Captain Lou Albano in the #BritishBulldogs’ corner #tbt #wwe,2020-04-16 14:29:08+00:00,335,2692,@WWE,#Wrestlemania #BritishBulldogs #tbt #wwe,1.25079335126932E+018,,,
71,1.25043033924101E+018,https://twitter.com/OzzyOsbourne/status/1250430339241005062,OzzyOsbourne,,Check out the interview in @NME,2020-04-15 14:26:39+00:00,270,2001,@NME,,1.25043033924101E+018,,,
71,1.25008406334543E+018,https://twitter.com/OzzyOsbourne/status/1250084063345426433,OzzyOsbourne,,Bark At The Moon Tour Program,2020-04-14 15:30:40+00:00,477,4433,,,1.25008406334543E+018,,,
71,1.24972602223417E+018,https://twitter.com/OzzyOsbourne/status/1249726022234165258,OzzyOsbourne,,"April 13, 2002 Hollywood Walk of Fame Ceremony",2020-04-13 15:47:57+00:00,848,7056,,,1.24972602223417E+018,,,
71,1.24934738399907E+018,https://twitter.com/OzzyOsbourne/status/1249347383999074305,OzzyOsbourne,,Happy #Easter! Photo: @markweissguy,2020-04-12 14:43:22+00:00,1792,8726,@markweissguy,#Easter #Easter,1.24934738399907E+018,,,
