age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252888733709471744,drmikeokonkwo,,"Beloved, there is hope for you. Colossians 1:27",2020-04-22 09:15:26+00:00,37,164,,,1.25E+18,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252663261704663041,drmikeokonkwo,,"Tonight, I declare over your life that your needs shall be met. You will not see shame nor disgrace. I declare over your life that you will not be stranded. Your vision helpers will locate you and you will prosper, in Jesus’ name, amen! #TREM #PFL #Rest #BMOLive",2020-04-21 18:19:29+00:00,44,174,,#TREM #PFL #Rest #BMOLive,1.25E+18,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252663043651178498,drmikeokonkwo,,"Child of God, when you Rest, God gives you creative ideas, and the steps you take thereafter will bring you into the plan of God for your life. #TREM #PFL #Rest #BMOLive",2020-04-21 18:18:37+00:00,12,28,,#TREM #PFL #Rest #BMOLive,1.25E+18,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252662820283363328,drmikeokonkwo,,POWER FOR LIVING | Dr. Mike Okonkwo | Tuesday 21-04-2020,2020-04-21 18:17:44+00:00,5,5,,,1.25E+18,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252662424433561603,drmikeokonkwo,,"Beloved, when you’re agitated and stressed up, you’ll end up being confused not knowing what to do. Reason why you must learn to rest. Apply these practical tools to keep your mind stayed on Jesus. #TREM #PFL #Rest #BMOLive",2020-04-21 18:16:09+00:00,7,19,,#TREM #PFL #Rest #BMOLive,1.25E+18,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252661973340368898,drmikeokonkwo,,"Beloved, learn to thank God for what He has done in your life. Offer unto Him a sacrifice of praise. Hebrews 13:15 #TREM #PFL #Rest #BMOLive",2020-04-21 18:14:22+00:00,16,32,,#TREM #PFL #Rest #BMOLive,1.25E+18,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252661664111091713,drmikeokonkwo,,How to operate in Rest, • Have an attitude of Thanksgiving to God! Give thanks to God. There’s power in thanksgiving. Learn to give thanks. Psalms 34:1-2, John 11:41 #TREM #PFL #Rest #BMOLive,2020-04-21 18:13:08+00:00,9,23,,#TREM #PFL #Rest #BMOLive,1.25E+18
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252660515437981699,drmikeokonkwo,,"Praying in tongues helps our weaknesses and limitations. Many times, we don’t know the right words or language to use, neither do we have the right articulation of what we want to pray about. Romans 8:26-28 #TREM #PFL #Rest #BMOLive",2020-04-21 18:08:34+00:00,11,27,,#TREM #PFL #Rest #BMOLive,1.25E+18,,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252660095441416195,drmikeokonkwo,,How to operate in Rest, • Praying in the Holy Spirit (tongues). Speaking in tongues is a gift of Grace and it is a powerful tool that does damage to the kingdom of darkness. It is a mystery that is refreshing. Isaiah 28:11-12 #TREM #PFL #Rest #BMOLive,2020-04-21 18:06:54+00:00,10,28,,#TREM #PFL #Rest #BMOLive,1.25E+18,
74,1.25E+18,https://twitter.com/drmikeokonkwo/status/1252659547891736576,drmikeokonkwo,,"Philemon 1:6 “That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.” - • All that Christ died to give you, you receive its manifestation by acknowledging that you have it! #TREM #PFL #Rest #BMOLive",2020-04-21 18:04:44+00:00,6,17,,#TREM #PFL #Rest #BMOLive,1.25E+18,,
74,1.24E+18,https://twitter.com/donmclean/status/1244457426117632000,donmclean,,"Wow! @garthbrooks the room stood still as you sang, “American Pie” then hearing them all sing back was special. Thank you for being a friend.",2020-03-30 02:52:25+00:00,7,91,#NAME?,,1.24E+18,,
74,1.24E+18,https://twitter.com/donmclean/status/1244448686912012289,donmclean,,"An honor to see @garthbrooks sing my song, “Vincent.”",2020-03-30 02:17:42+00:00,19,307,#NAME?,,1.24E+18,,
74,1.24E+18,https://twitter.com/donmclean/status/1242988224571719683,donmclean,,CLEARANCE SALE Time to make room for NEW Merchandise. https://donmclean.com/shop-3/,2020-03-26 01:34:20+00:00,2,14,,,1.24E+18,,
74,1.24E+18,https://twitter.com/donmclean/status/1237395013538951171,donmclean,,"Join me for The Big E Fair in West Springfield, MA on October 1.",2020-03-10 15:08:55+00:00,2,11,,,1.24E+18,,
74,1.24E+18,https://twitter.com/donmclean/status/1237032871937875974,donmclean,,"Join me in Hopewell, VA at The Beacon Theatre on August 18. https://www.myticketstobuy.com/event/1598",2020-03-09 15:09:54+00:00,0,2,,,1.24E+18,,
74,1.24E+18,https://twitter.com/donmclean/status/1235585424170643457,donmclean,,"Join me at the Blue Note Hawaii April 3, 4, & 5. https://bluenotehawaii.com/calendar.php?m=4&amp;y=2020",2020-03-05 15:18:15+00:00,0,6,,,1.24E+18,,
74,1.23E+18,https://twitter.com/donmclean/status/1234925229476020226,donmclean,,"Although I was not affected, my band, management, and publicist all live in Nashville so I have asked them to go buy bottled water and deliver it to the shelters. I encourage everyone to help where they can. #nashvillestrong",2020-03-03 19:34:53+00:00,28,206,,#nashvillestrong,1.23E+18,,
74,1.23E+18,https://twitter.com/donmclean/status/1234500520406142979,donmclean,,Check out this analysis that was done on American Pie from Fil with Wings of Pegasus.,2020-03-02 15:27:14+00:00,0,20,,,1.23E+18,,
74,1.23E+18,https://twitter.com/donmclean/status/1234217952263778304,donmclean,,"Happy Birthday, Roger Daltrey!",2020-03-01 20:44:25+00:00,2,31,,,1.23E+18,,
74,1.23E+18,https://twitter.com/donmclean/status/1233961544070893568,donmclean,,"Zenos, Don, and Paris at Sugarloaf – at Sugar Loaf Performing Arts Center",2020-03-01 03:45:32+00:00,0,25,,,1.23E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1253384017547796485,davidgilmour,,Here we go… #VonTrappedFamily,2020-04-23 18:03:31+00:00,45,312,,#VonTrappedFamily,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1253378286387974149,davidgilmour,,"Our latest Von Trapped Family live stream begins in 20 minutes, at http://facebook.com/davidgilmour",2020-04-23 17:40:44+00:00,69,456,,,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1251202905392234496,davidgilmour,,Here’s a better quality video of Romany and myself playing Leonard Cohen’s If It Be Your Will from last night’s Von Trapped Family live stream (you can see the full thing on @pollysamson’s YouTube at https://youtu.be/0bI7xqA2HAs). Thanks to everyone who watched it.,2020-04-17 17:36:33+00:00,363,1859,#NAME?,,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1250870329922203648,davidgilmour,,"Our latest live stream is beginning now, over at",2020-04-16 19:35:01+00:00,98,556,,,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1250756797528498176,davidgilmour,,"Here's a video I made of @PollySamson reading the passage from her new novel, #ATheatreForDreamers about Leonard Cohen's arrival on Hydra. That happened exactly 60 years ago today, and we'll celebrate it with our Von Trapped family live steam on Facebook, tonight at 8.30pm BST.",2020-04-16 12:03:53+00:00,99,631,#NAME?,#ATheatreForDreamers,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1248333220682379270,davidgilmour,,The second Von Trapped family #ATheatreForDreamers live stream is starting now!,2020-04-09 19:33:27+00:00,53,368,,#ATheatreForDreamers,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1247852881551785985,davidgilmour,,Our Von Trapped family (as @pollysamson has christened us) is back for a second live stream tomorrow (Thursday) at 8.30pm BST / 3.30pm ET. Here's a little video of me rehearsing another Leonard song to play. We'll see you tomorrow at http://facebook.com/davidgilmour,2020-04-08 11:44:45+00:00,698,3480,#NAME?,,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1246534294228664322,davidgilmour,,"We filmed Thursday's #ATheatreForDreamers book launch live stream on some better cameras (well, until they cut out) - and I've had a play with the audio. Here it is. Also, thanks for the kind words about the Leonard Cohen covers.",2020-04-04 20:25:09+00:00,118,768,,#ATheatreForDreamers,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1246088896120840196,davidgilmour,,Nice to see Fat Old Sun on The Guardian’s “soothing songs to self-isolate with” playlist.,2020-04-03 14:55:18+00:00,70,711,,,1.25E+18,,
74,1.25E+18,https://twitter.com/davidgilmour/status/1245795016515244033,davidgilmour,,LIVE!,2020-04-02 19:27:32+00:00,57,284,,,1.25E+18,,
