age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
76,1.2516651268574E+018,https://twitter.com/DianaRoss/status/1251665126857400320,DianaRoss,,"The UK Daily Mirror(4/18) article is NOT true. No idea where they would get this untruth. Im respecting the authorities direction&health&safety of all. I’m not coming to the UK. I’m heart broken, hoping to see u as soon as the promoters reschedule #Lovehangover #DianaRossSpotify",2020-04-19 00:13:15+00:00,159,901,,#Lovehangover #DianaRossSpotify,1.2516651268574E+018
76,1.2511240553374E+018,https://twitter.com/DianaRoss/status/1251124055337402369,DianaRoss,,,2020-04-17 12:23:14+00:00,74,478,,,1.2511240553374E+018
76,1.24982663470782E+018,https://twitter.com/DianaRoss/status/1249826634707824640,DianaRoss,,"Tomorrow, April 14 @1pm eastern. My son, Evan and world famous shoe designer @GiuseppeZanotti are hosting a creative workshop together on Instagram. Tune-in LIVE @GiuseppeZanotti IG TV ",2020-04-13 22:27:45+00:00,51,305,@giuseppezanotti @giuseppezanotti,,1.24982663470782E+018
76,1.24940148330653E+018,https://twitter.com/DianaRoss/status/1249401483306532865,DianaRoss,,I hope these songs are in some way comforting fillled with love to you,2020-04-12 18:18:21+00:00,95,576,,,1.24940148330653E+018
76,1.24939900285805E+018,https://twitter.com/DianaRoss/status/1249399002858045440,DianaRoss,,"I LOVE YOU ,HAPPY EASTER AMAZING GRACE",2020-04-12 18:08:29+00:00,71,441,,,1.24939900285805E+018
76,1.24870474363282E+018,https://twitter.com/DianaRoss/status/1248704743632818176,DianaRoss,,ONLY LOVE can conquer all #love,2020-04-10 20:09:45+00:00,139,858,,#love,1.24870474363282E+018
76,1.24750012170664E+018,https://twitter.com/DianaRoss/status/1247500121706643456,DianaRoss,,"We join the World Health Organization @WHO salute these heroes on World Health Day. And while the official date is April 7, they earn our gratitude every day.",2020-04-07 12:23:01+00:00,207,1040,@WHO,,1.24750012170664E+018
76,1.24689533973642E+018,https://twitter.com/DianaRoss/status/1246895339736424448,DianaRoss,,I will be missing you #victorskrebneski,2020-04-05 20:19:49+00:00,113,987,,#victorskrebneski,1.24689533973642E+018
76,1.2461845373542E+018,https://twitter.com/DianaRoss/status/1246184537354199040,DianaRoss,,This is very helpful to me - Listen,2020-04-03 21:15:21+00:00,69,330,,,1.2461845373542E+018
76,1.24393260604905E+018,https://twitter.com/DianaRoss/status/1243932606049054722,DianaRoss,,We are being given an opportunity like ever before One World Greater Love I share this to all,2020-03-28 16:06:59+00:00,62,409,,,1.24393260604905E+018
76,1.2435508736088E+018,https://twitter.com/DianaRoss/status/1243550873608802304,DianaRoss,,"The day has gone it was amazing for me. I love all of the Texts ,emails tweets and happy birthday wishes from all my friends and family.THANK YOU ALL This has been an incredible year of love , joy and momentum.I wish you LOVE",2020-03-27 14:50:06+00:00,134,1595,,,1.2435508736088E+018
76,1.24322378404098E+018,https://twitter.com/DianaRoss/status/1243223784040980480,DianaRoss,,"My Birthday Wish- I wish & ask for SOURCE,the Highest Power to send LOVE, compassion, health, well-being, happiness, clarity, abundance, joy, forgiveness, appreciation & all the blessings - for there are many - to my human family on this planet. Sending my Love and Light to ALL",2020-03-26 17:10:22+00:00,797,5411,,,1.24322378404098E+018
76,1.24300957846106E+018,https://twitter.com/DianaRoss/status/1243009578461057026,DianaRoss,,What a great early birthday gift !!,2020-03-26 02:59:12+00:00,223,1595,,,1.24300957846106E+018
76,1.24279048682739E+018,https://twitter.com/DianaRoss/status/1242790486827388929,DianaRoss,,Thinking about thinking new thoughts,2020-03-25 12:28:36+00:00,119,723,,,1.24279048682739E+018
76,1.24246946800289E+018,https://twitter.com/DianaRoss/status/1242469468002893827,DianaRoss,,,2020-03-24 15:12:59+00:00,287,1622,,,1.24246946800289E+018
76,1.25085212626105E+018,https://twitter.com/McDowellMalc/status/1250852126261047296,McDowellMalc,,"Very sad to hear about the passing of Brian Dennehy. He was a fantastic actor on the big and small screens, as well as theatre. Another great loss!!! RIP MM",2020-04-16 18:22:41+00:00,406,2182,,,1.25085212626105E+018
76,1.25019059590295E+018,https://twitter.com/McDowellMalc/status/1250190595902951424,McDowellMalc,,Honored to have known & worked with the great @StanleyKubrick First trailer for #KubrickByKubrick,2020-04-14 22:34:00+00:00,33,200,@StanleyKubrick,#KubrickByKubrick,1.25019059590295E+018
76,1.24915419588379E+018,https://twitter.com/McDowellMalc/status/1249154195883786241,McDowellMalc,,"During these crazy times, wishing everyone a happy & safe Easter! MM",2020-04-12 01:55:43+00:00,731,3072,,,1.24915419588379E+018
76,1.24326662162117E+018,https://twitter.com/McDowellMalc/status/1243266621621166082,McDowellMalc,,"One of our family of Mozart in the Jungle passed this morning from the corona virus. Mark Blum was a truly wonderful actor, but more importantly, was a funny sensitive, and beautiful man. RIP. - Malcolm",2020-03-26 20:00:36+00:00,262,1347,,,1.24326662162117E+018
76,1.23704864944561E+018,https://twitter.com/McDowellMalc/status/1237048649445605379,McDowellMalc,,"Max was a truly brilliant actor, known mostly for rather serious roles, but in person had a wonderful sense of humor. It was an honor to work with him, RIP . MM",2020-03-09 16:12:35+00:00,65,515,,,1.23704864944561E+018
76,1.12797650749258E+018,https://twitter.com/McDowellMalc/status/1127976507492581376,McDowellMalc,,"Doris was the mother my generation fantasied about; we all wanted her to be our own mother. She was a total class act and she will be missed, RIP Doris.",2019-05-13 16:38:50+00:00,66,605,,,1.12797650749258E+018
76,1.10377495306786E+018,https://twitter.com/McDowellMalc/status/1103774953067864064,McDowellMalc,,20 years ago today we lost this great man. #kubrick,2019-03-07 21:50:30+00:00,997,3633,,#kubrick,1.10377495306786E+018
76,1.09550793863701E+018,https://twitter.com/McDowellMalc/status/1095507938637008896,McDowellMalc,,,2019-02-13 02:20:20+00:00,36,175,,,1.09550793863701E+018
76,1.09395231625057E+018,https://twitter.com/McDowellMalc/status/1093952316250570752,McDowellMalc,,"He also helped fellow filmmakers as a producer, he managed the funding of Lindsay Anderson’s If.... and with his partner Michael Medwin also produced Lindsay’s next film O Lucky Man. A legendary great actor , Albert will be sorely missed, RIP. Malcolm McDowell (2/2)",2019-02-08 19:18:51+00:00,180,848,,,1.09395231625057E+018
76,1.0939520550126E+018,https://twitter.com/McDowellMalc/status/1093952055012601856,McDowellMalc,,Albert Finney was the most influential actor of his generation. He made it possible for actors from the provinces to make it! It was good to be working class. His mixture of great charm and danger made him totally irresistible. (1/2),2019-02-08 19:17:49+00:00,415,1947,,,1.0939520550126E+018
76,1.08895343504574E+018,https://twitter.com/McDowellMalc/status/1088953435045744641,McDowellMalc,,A fun little #fbf to end the day.,2019-01-26 00:15:05+00:00,57,612,,#fbf,1.08895343504574E+018
76,1.08597671156354E+018,https://twitter.com/McDowellMalc/status/1085976711563542530,McDowellMalc,,"Pleased to announce I'll be hosting an event to support SPARC, a beloved no-kill shelter in Santa Paula. You can find more details by following this link: https://tinyurl.com/sparcbenefit",2019-01-17 19:06:39+00:00,17,131,,,1.08597671156354E+018
76,1.08125944499299E+018,https://twitter.com/McDowellMalc/status/1081259444992987137,McDowellMalc,,"On this #GoldenGlobe weekend, I wanted to say how honored I am to have been nominated in 1972 for #AClockworkOrange. Wishing the best to all the nominees.",2019-01-04 18:41:55+00:00,381,2247,,#GoldenGlobe #AClockworkOrange,1.08125944499299E+018
76,1.07743077773268E+018,https://twitter.com/McDowellMalc/status/1077430777732681728,McDowellMalc,,Happy Holidays,2018-12-25 05:08:09+00:00,920,3161,,,1.07743077773268E+018
76,1.06023665085948E+018,https://twitter.com/McDowellMalc/status/1060236650859483136,McDowellMalc,,Delighted to say I'll be hosting this event featuring the music of Kubrick! https://consequenceofsound.net/2018/11/malcolm-mcdowell-stanley-kubrick-music-series/,2018-11-07 18:24:50+00:00,128,806,,,1.06023665085948E+018
76,1.24506449642879E+018,https://twitter.com/JimmyPage/status/1245064496428785664,JimmyPage,,We are so grateful to all our wonderful @NHSuk staff on the frontline and all the essential service workers: thank you. Stay safe ,2020-03-31 19:04:42+00:00,50,512,@NHSuk,,1.24506449642879E+018
76,1.24506449397097E+018,https://twitter.com/JimmyPage/status/1245064493970972672,JimmyPage,,"Thank you all for your messages. During this global pandemic @ScarlettSabet and I are following government guidelines and staying home. Our thoughts are with all those who are suffering from the virus, and the families who have lost loved ones.",2020-03-31 19:04:42+00:00,168,1386,@ScarlettSabet,,1.24506449397097E+018
