age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo,,,,
87,1.24985821750237E+018,https://twitter.com/QuincyDJones/status/1249858217502371840,QuincyDJones,chloexhalle,"Big-time props to my baby sis from anotha miss, @SheleaMusic, who played the role of Dorinda!!",2020-04-14 00:33:14+00:00,15,118,@SheleaMusic,,1.24985821750237E+018,,,,
87,1.24922127309737E+018,https://twitter.com/QuincyDJones/status/1249221273097367552,QuincyDJones,,"Executive Produced by my esteemed sistas @IAMQUEENLATIFAH @maryjblige &amp; @MissyElliott, and starring our very own @SheleaMusic as @DorindaTheRose, don’t miss #theclarksistersmovie on @lifetimetv ",2020-04-12 06:22:15+00:00,32,156,@IAMQUEENLATIFAH @maryjblige @MissyElliott @SheleaMusic @DorindaTheRose @lifetimetv,#theclarksistersmovie,1.24922127309737E+018,,,,
87,1.24914388465711E+018,https://twitter.com/QuincyDJones/status/1249143884657106945,QuincyDJones,lifetimetv,Starring our very own @SheleaMusic as the incredible @DorindaTheRose - premieres tonight on @lifetimetv! ,2020-04-12 01:14:44+00:00,14,68,@SheleaMusic @DorindaTheRose @lifetimetv,,1.24914388465711E+018,,,,
87,1.24792183043996E+018,https://twitter.com/QuincyDJones/status/1247921830439964674,QuincyDJones,EliTeplin,"Absolutely beautiful my brother, @EliTeplin. Sending &amp; thanks to all-a-y’awl out there risking your lives for ours. Some very special people in this video to me &amp; I don’t know what I’d do without ‘em ",2020-04-08 16:18:44+00:00,11,68,@EliTeplin,,1.24792183043996E+018,,,,
87,1.24766282720191E+018,https://twitter.com/QuincyDJones/status/1247662827201908736,QuincyDJones,donaldglover,"Thank-Q my brother, @donaldglover ...We meant it back in ‘89 &amp; still mean it today...”Now is the time to have faith in us all” ...Stay safe out there.",2020-04-07 23:09:33+00:00,60,800,@donaldglover,,1.24766282720191E+018,,,,
87,1.24629685725012E+018,https://twitter.com/QuincyDJones/status/1246296857250115584,QuincyDJones,,My brothers...No words...,2020-04-04 04:41:40+00:00,638,2153,,,1.24629685725012E+018,,,,
87,1.24446824533302E+018,https://twitter.com/QuincyDJones/status/1244468245333020672,QuincyDJones,,"Even though we were the same age, Polish composer Krzysztof Penderecki was one of my biggest inspirations of all time & it absolutely breaks my heart to hear about his passing... 2018 marked both of our http://bit.ly/2JqzOMg",2020-03-30 03:35:25+00:00,59,348,,,1.24446824533302E+018,,,,
87,1.24253908892366E+018,https://twitter.com/QuincyDJones/status/1242539088923656193,QuincyDJones,,...it absolutely breaks my heart to hear about this tremendous loss. Soul Makossa my brother!!…Thank U for your music & your light.,2020-03-24 19:49:38+00:00,220,485,,,1.24253908892366E+018,,,,
87,1.24253900504175E+018,https://twitter.com/QuincyDJones/status/1242539005041754112,QuincyDJones,,"I first crossed paths w/ the great Manu Dibango in Paris back in the 50’s & had the great honor of seeing him 1 last time this past summer when he came backstage after my concert (also in Paris)…His contributions to music as we know it today are unparalleled, &...",2020-03-24 19:49:18+00:00,869,1808,,,1.24253900504175E+018,,,,
87,1.24180757764354E+018,https://twitter.com/QuincyDJones/status/1241807577643540480,QuincyDJones,,"My sweet Pie, Kidada...Happy Happy Bday baby!!....I love U with all of my heart AND soul. Thank you for sharing your heart with us through your book, “@schoolofawake”, &amp; also through your everyday life. You’re a treasure to us all &amp; dontchu forget it!!...xxoo",2020-03-22 19:22:52+00:00,25,184,@schoolofawake,,1.24180757764354E+018,,,,
87,1.24119684554558E+018,https://twitter.com/QuincyDJones/status/1241196845545578496,QuincyDJones,,"7pm? @trvisXX who throws a party that early???...Anyway...not sure what I walked into, but thank-q for the sandwich. : @samlecca “Out West” ",2020-03-21 02:56:02+00:00,25,92,@trvisXX @samlecca,,1.24119684554558E+018,,,,
