username,tweet
roneilcastillo,Happy 91st birthday lola 
PawankalyanKee1,Happy birthday #anna garu #DrRajkumar sir 91st birthday 
quelineruby64,"Happy 91st Birthday, Ms Ambrose Love &amp; Best Wishes from Australia. "
Angel5Christine,How wonderful Happy 91st birthday to Adele 
Miss_Mary215,HAPPY 91ST BIRTHDAY GRANNY A.K.A “MAMA”!! | Felt good seeing her &amp; knowing that she was still happy on her special day. Felt awkward asf that I couldn’t go inside though or give… https://www.instagram.com/p/B_V-vwMFrOFkBG1HifzChQ4c-m6eoNHLieTWTo0/?igshid=12yoceyb4st7r
lildi581,Happy 91st Beautiful Birthday https://twitter.com/davegreber4/status/1253437006094446594
MHS_AP_Pope,Happy 91st Birthday to my dad. I wish we could be there to celebrate with him today. 
Yashasng27,Happy 91st birthday to the father of kannada cinema. His movies have always given a good message to the society. We all need to pay our respects to him as he was the lead campaigner for gokak agitation to protect our mother tongue kannada and Karnataka #RajkumarJayanti
INOXMovies,"#HappyBirthdayDrRajkumar. Today is a celebration of a #legend who will forever be loved and admired by all. Happy 91st Birthday! @NimmaShivanna @PuneetRajkumar @PowerStarPunith @shivuaDDa, @OnlyShivanna @Raj_Dynasty @PSPRFC @TeamPuneeth @NammaAppu @RocklineEnt, @Kansilverscreen"
mar4lex,Happy birthday - it’s my mother’s 91st birthday too!
Miss_Mary215,Happy 91st Birthday to my ...My granny! (I call her “Mama” doe) lol Y’all wish my mama a Happy Birthday today!! Such a blessing #FloodingYallTimeline https://www.instagram.com/p/B_VKjJ-Fj76_U_W9Ie9hoGX1I-BzFmu6wNSDYA0/?igshid=3fzi4ucj7n6n
youbeher,Happy 91st Birthday Queen. 
KieronAttwood,"Happy Birthday #Shakespeare although I'm thinking more of your birthday buddy, Nana Atttwood on what would have been her 91st Birthday. x"
MbuguaGideon1,Happy 91st birthday doctor..... 
VintageMNHockey,"Happy 91st birthday today posthumously to former Minneapolis Miller &amp; NHL left winger, &amp; eventual @GopherHockey, Fighting Saints, and North Stars Coach &amp; G.M. - Glen Sonmor born in Moose Jaw, Saskatchewan"
jennifervarrgas,HAPPY 91st BIRTHDAY LOLA!! 
jaysocol,"Happy 91st birthday to my dad. One of the funniest, most mischievous people I’ve ever known. This pic is from a trip we took in 2003 to Kitty Hawk, NC to be part of the 100th anniversary of the Wright brothers’ historic flight. “Hot Rod” was a pretty fair pilot, himself. "
JillForeman82,"Today was a great day, happy 91st birthday Granda. Thank you to all staff @careuk Elwick Grange. What a legend and what a story, we are making history and we must remember the precious moments that are occurring each day, every day x"
Ali_Lou77,Wow! Happy belated 91st birthday Steve! Stay safe Mr and Mrs Green! How lovely to hear Peter Davidson narrating too (miss you of course Christopher Timothy!) Another fabulous show tonight 
Hill_Care_,"The lovely Dorothy celebrated her 91st birthday at Willowdene Care Home in Hebburn. Dorothy had an amazing day, family came to sing happy birthday through her window and she received lots of prezzies and flowers. Staff organised a home-baked cake to round off the celebrations. "
Nekokeeet,Happy 91st Birthday everything! Thank you don sa garapon na puro kaemehan love messages na pinagawa ni kupal sayo HAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAA @areuafbozo
westseattlenews,"WEST SEATTLE SCENE: Happy 91st birthday, Nancy! "
AmpullaLodge,Happy 91st birthday!!
hrfca,"With today’s Royal Gun Salute cancelled, we look back on when Officer Cadets of Tayforth Universities Officer Training Corps fired a 21-Gun Royal Salute at Stirling Castle to mark the 91st birthday of Her Majesty The Queen in 2017. Happy 94th Birthday to The Queen! "
murphywanda69,Happy 91st Birthday to my wonderful Mother In-Law Beatrice O’Rielly ( Soper) she was bone in The Battery . ( PS this picture was only taken last week and she lives on her own God lover )We Hope you have a great day mama Beat xo #greattobe91 #happybirthday
alex_33199,HAPPY 91st BIRTHDAY PAPA LELO!! Real mothafuckin G 
FJHSart,"Happy kindness week Finley! Nothing beats kindness...still looking for my outfit, but I’ve got a start on BINGO. This weekend was my Grandma’s 91st birthday! My sister and I gifted her with this sign, music, and a dance in front of her building :) #cridgepride #kindnessweek"
