username,tweet
intuitivemama2,Please help me wish my old bitch bestie a happy 35th birthday! She's not on Twitter so she can't be mad at me for posting a pic of us partying in our 20s. She's the blonde #Taurus #oldbitch
TReese82,Happy 35th Birthday to DJ DJ Obi!
bingybingyfoo,Happy birthday! Here's hoping your 35th is filled with tons of this irl: 
TReese82,Happy 35th Birthday to Actress Bar Paly!
jamesblake2600,Happy 35th Birthday @Morgan_Evans
NDMTV1972,Happy 35th Birthday. Now Following. Shout-out from Baltimore. 
BeeZee,Happy 35th birthday to @zyzzyvamag! My weekend reading thanks to @ovillalon Where to start? @brywashing or @LaurenMarkham_ or Margaret Wilkerson Sexton w/@McMurtrieSF? An embarrassment of riches
JhillyB,"Happy 35th Birthday, @michealsander11 ! Make it a great day! I hope it is blessed and beautiful! Make a wish; it's important..."
gumball_eyes,"If I had it my way we would only observe my birthday every five years. Happy 30th, happy 35th, etc. but people insist on annual celebrations and I hate it so much."
tapology,@mr_ao happy 35th birthday! via @tapology
miazga_s,Happy 35th Birthday @michealsander11 ! I hope you have a day as awesome as you are!
jackybambam933,Let’s wish MR. HOOTER ROB HYMAN a Happy Happy Birthday!! Also coming up this weekend the 35th Anniversary of The Hooters Debut NERVOUS NIGHT!! Who else would Bill Graham call to open up Live Aid!?? Right Larry???lol Photos: @BootzLisa @thehooters #robhyman @PMAwalk @cyndilauper
MissMichaelaUK,Happy Birthday Callum!! . Swipe for a Plunga Xclusive! . He's the brains behind 95% of Messyworld and http://liquidx.tv and today he is spending his 35th birthday in quarantine . Please send Callum some love and birthday… https://www.instagram.com/p/B_WyrI4g2A3/?igshid=1d8ex8nqygp9u
gibson_gooner,Wishing a very happy 35th birthday to the slowly ageing @SimonLester24 Have a great day tiling and cleaning the conservatory!
HeaderLee1,Happy 35th birthday! 
AshleyDavis09,"Happy 35th birthday to our favorite guy! These pictures are from our driveway dinner celebration last night. He’s worth celebrating every day, global pandemic happening or not We love you! https://www.instagram.com/p/B_WOTgNDhb-/?igshid=15yioktut4zo7"
sweatshirtvibes,Happy 35th Birthday bad b 
x7LWCsI8OYlITLk,ジョーさん35th Happy Birthday #城宝匡史 #また会いたい
FamousBirthdays,.@TaioCruz celebrates his 35th today. Happy Birthday! 
failingtofollow,"Happy Birthday Henry! I had my 35th birthday last week and also have CF. Well done for staying home and looking after yourself, it's tough but it's so important."
steveschale,Happy 35th Birthday to New Coke! 
MalaysianInME,Happy 35th Birthday 
