age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253529732093587457,JeanneHitchcoc2,profsarahj,"Funny thing about parents Dutts, they don't want their kids to die of covid-19.",2020-04-24 03:42:32+00:00,0,0,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253489432566484993,JeanneHitchcoc2,JimDeck59503918,We care.,2020-04-24 01:02:24+00:00,0,1,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253487628835409920,JeanneHitchcoc2,davidbewart,"In America, some of Trumps idiot supporters might try this- and die.",2020-04-24 00:55:14+00:00,0,1,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253486991032770560,JeanneHitchcoc2,creativecatjk,Kids are not Guinea pigs.,2020-04-24 00:52:41+00:00,0,1,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253485358320250880,JeanneHitchcoc2,sunriseon7,Side effects- this drug kills.,2020-04-24 00:46:12+00:00,0,1,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253459502050902016,JeanneHitchcoc2,michaelpbreton,"When our borders really needed protecting, where was Border Force? Dutton is in charge but where were the rest of them? They failed us, they are useless thugs and bullies.",2020-04-23 23:03:28+00:00,0,0,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253405780390277120,JeanneHitchcoc2,danilic,I suspect Dutton is telling him what to do. If it'dirty it's Dutton.,2020-04-23 19:29:59+00:00,0,2,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253178351293829121,JeanneHitchcoc2,ricklevy67,"Shed a tear for the refugees you have locked up for 7 years you bloody mongrel, how can you be so cruel. I wouldn't shed a tear for you Scummo if you dropped dead tomorrow.",2020-04-23 04:26:16+00:00,2,4,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253177445580079104,JeanneHitchcoc2,shane25873,He deserves everything that's coming for him.,2020-04-23 04:22:40+00:00,0,1,,,1.25E+18
90,1.25E+18,https://twitter.com/JeanneHitchcoc2/status/1253031490067128320,JeanneHitchcoc2,phbarratt,What was he thinking?,2020-04-22 18:42:42+00:00,0,0,,,1.25E+18
90,1.25E+18,https://twitter.com/colin_thackery/status/1250537323336523786,colin_thackery,maytrixgroup,Let’s help get this young gentleman to 10m! What a wonderful achievement for such a worthy cause. I salute you @captaintommoore,2020-04-15 21:31:46+00:00,4,27,#NAME?,,1.25E+18
90,1.25E+18,https://twitter.com/colin_thackery/status/1250163006220230657,colin_thackery,BBCNews,Brilliant ,2020-04-14 20:44:22+00:00,1,23,,,1.25E+18
90,1.25E+18,https://twitter.com/colin_thackery/status/1250146333123645440,colin_thackery,RSM_ASC,How about this one?,2020-04-14 19:38:07+00:00,1,6,,,1.25E+18
