age,user,0,1,2,3,4,5,6,7,8,9
18,edelleangel_,Thankyouu jp!! ,salamaat boi,Thankyouuu nico!! Godbless ,thankyouuu gandoots ,Thankyouuu beb mishuu2 ,thankyouuu krishaa ,salamaaat rizzaa!!,Thankyouu ate daa! ,Thankyouuu bogs!! ,thankyou drei 
18,kensanjose_, ,18,rooftop sunsets n my stick,goin live at 12 on Cornerstone Entertainments Facebook! See y’all there ,anyone else constantly fighting daily to keep their sanity, in 2 days,my turn TOOSIE SLIDE @Drake,i’m turning 18 in 3 days,popsmoke forever a G,woman crush everyday
18,Chikreet_,I wuv u pakner ,Uwu ,Hahahaha aww miss sab chour haha,Aww chaaar oh. Jokerist man diay hahahah,Aww lahi sab ka HAHAHAHAHAHAJA,"If u wanna talk to me, talk. Im always willing to have a deep conversation with you.",Dang boi,If only u can see me through There's alot to know and a lot to show.,"I need attention, time and efforts. I badly miss having someone who takes good care of you.",Nganong lisod man dawaton no? Hays
18,MadisonWacker,Seni Szn ,Family Reunion ,can’t wait for next year ,,,,,,,
18,andrysrno,bye zz,antok,im so full sir HAHAHHAHSHS,samedttTt omg,kilig ako sobra sa message ni ate vienne huhu ,thank u! ill see u soon wav u ,walang mintis mga crush ko lahat bumati tay tayo niyan HAHAHAHHAHS,di ko mareplyan mga nagtetext saken wala po akong load gosh! pero thank u ,i post too much on tiktok 2 day lol ,mama im a criminal
18,AnielCrisel,"Thankyouu sa lahat ng bumati, im happy even though iba yung sitwasyon, naging memorable to saken. Yung mga nagpost ng pictures, videos, sa day nila well appreciatted. Kahit sagabal talaga dito yung signal para mareplayan ko lahat ng bumati. Thankyouuu ",sige sayo muna twitter ps. salamat sa mga nagpush ket sa kapitbahay at sa likod gubatan lang yan HAHAHA,L E G A L I T Y ,Diko maretweet,Thankyou joyyy ,HAHAHAHAHAH,wala e pogi siya don tas nakawacky ako ‍ ,Naghanap pa yon? HAHAHA thankyou sf♡,wala na pwede na akong umungol ay makulong palaaa shet ,thankyouuuu
18,Queen_Trajano,Thankyou mikay! Keepsafe ,Thank you gaga! ,HAHAHAHHAHAHA PARA SAKIN PO YUN,Dugyot ko taena,"Thank uu inahhh, 13 lang talaga ko ",Thank u kinder!! Keepsafe ,Ayee thankyouu!! Arat nuhh keepsafe! ,Thankyouu keep safe ,Awieee thankyou kyannnn loveyouuu more solidan bonds to comeeee!! Miss you ghOrl ,Sige mayaman ako e HAHAHAHA
18,francesxcz,thaank you nickyy see you puhoon!,SAMOKA OY HAHAHAHAHA,thaaanks ombz among gep nya ha lablab alwaaays mwaah ,kagwapa ato na taga src oyy ,"wa gyud namao akong nawng oy pero thaaank u my other fran, love youu and naa rako pirmi ",hihi thaaank u for taking my photos inig activities gekyy mwaah ,thaank u my lingling ,thaank you charm catch up tayo soon kasi andami natin chikkas ,Thank youuu dzaii! ,thaank u idol! 
18,Blake_Brown3,LETS GOO!!!!!!! ATTA BOY! Keep putting kids on their back! Can’t wait to see what you accomplish!!!,"Other programs passed up one hell of a player. Congrats, couldn’t be happier for you!!!!!",Very honored and excited to receive and offer from William Penn!! Thank you Coach Norberg for helping me through the process.,Thank you Coach!,Thank you so much!,Thank you very much!!!,That truly means a lot to me coach. Thank you for everything.,Thank you very much!!!,"Connor and I have been on the same football team every year we’ve played. Connor is a winner, motivator, and all around athlete. You will succeed in whatever you do, because of your determination to better then anyone else. Love you bro! Wish you the best.","Thank you Mr. Miko. Thank you for everything you’ve done for me, and this program. You’ve made memories for me that will last a lifetime."
18,ccaammz,HAHAHAHAHAHAAHAH thank uuuu zinzin love u , ,thank you sa lahat ng naggreet ,thank uuuuuu stephanyYyyyyyyuuyy ,HAHAHAHAHA ONE HOUR TALK,TITUUUUUHHHHH HAHAHAHAHAHAHAHAHAH THANK U SA EFFORT AT TIME AT PAGSCREENSHOT AT PAGCALL AT PAGPATAWA SA GABI NG AKING KAARAWAN IKINAGAGALAK KO NA MAKAUSAP KA NG MAAYOS HAHAHAHAHA,TAENA MUE HAHAHHAHA,May pahabol daw si chelsey HAHAHA, ,thank you 
18,_NicoleHood,ingat guys ,HDHSHAHAHHAHAHAH di natin sure,holy week na holy week bat ganto topic namin ,"Thank you, dandannn!! Mishuuu hehe ","Thank you, Doan!! ",AHHAHAHAHAH i gotchu all sa pagbili ,"HAHAHAHAHHAHA thank you, boss karl ","Thank you, shai!! Mishuuu ilyt!!","Than you, ver!! ",excited na ko umuwi pinsan ko may pasimuno na ng inuman sa bahay 
18,antihan_,WAIT I CAN MAKE A TINDER PROFILE,finally need to admit i need a boyfriend because i’m too explosive on my own,LMAO,do your ankles hurt from leaping to all these conclusions,lmao as if he can say whatever and i’m not allowed to protest-,something bad just happened and you- i- wtf?,my brain has crashed and i really don’t wanna exist rn,you know when something’s very very wrong but you just wanna keep pushing it back because you wanna deal with it later,um,hahahahaha just in time thank you!!! 
18,eabeloso,gulat ako sa nagchat ih , ,thankyouu hemwee ,Hahahahahah tanginamo salamat ,hahahhaaha buti na lang,salamatin bonbonan,walwalan na pag tapos na ang lahat,Salamatin ,Salamat puuu ,SALAMAT ATE MAYCKSSS 
18,fookinavocado,HAPSY BAPSY MODDIEEE @lwtlvr I LOVE YOU AND YOURE ONE OF MY OLDEST MOOOTS I HOPE YOU HAD THE BEST DAY EVER - i do be sounding like a 12 year old ,phew got scared for a SEC,TWOTTER I NEED A TALK WITH YIU,ALSO IM PROUD OF YOUR LOUIS NOTICES !!!!,@hesthehabit IM NOT IGNORING YOU MY DMS DIED BUT I DISAPPEARED TO TIK TOK AND LOCALS BUT THEYRE BORING AND I MISSED MY BABIES AND NOW IM BACK,I LIT RALLY CAME BACK AND FOR WHAT I HAT THIS APP,HOW HAVE I BEEN PUT ON DM LIMIT ALREADY,BRUH SO AM I WHAT,OI,shush you love it
18,collinge_owen,@olliepilky12,@NickRound1 @ShayPower6,@ShayPower6 ,@NickRound1,@shaypower1, ,@StoreyyRyan @NickRound1,@ShayPower6 ,@ShayPower6 not to sure about this ,@ShayPower6
18,picturethis,This photo was taken 4 years ago today at our first ever headline show. We’ve gone on to play to over half a million of you since then! Thank you for making these fresh faced boys dreams come true. You are the reason we get to do this ,We’ll be going live on our Instagram tomorrow night at 7pm in aid of @ISPCCChildline to help raise funds and awareness for this incredible charity! You can donate now by texting CHILDHOOD to 50300. See you all tomorrow night! #NeverGiveUpOnAChildEver,Here's a look back on the amazing time we had on tour with the @jonasbrothers . Hope to come back and tour for you all again soon!,Big love Demian! ,"When We Were Young - Live from The Roundhouse. London, November 2019",On this very date last year we started the first of a historic 5 nights in the 3Arena. Forever grateful for you for giving us the best week of our lives ,When you have to get dressed to be on the news...,We’re delighted to be doing a live-stream for @glblctzn as part of the #togetherathome campaign. Tomorrow night we will be doing a live concert on Instagram Live in support of #togetherathome at 9pm GMT. Join in to hear some tuuunes!,ELECTRIC PICNIC. We are so excited to play for you. See you in Stradbally! @EPfestival,Try to be nice to @LewisCapaldi and this is what you get. @DaveTodayFM
18,pastryycia,thnx jelle @acuteanjelle,APRICA HAHAHAHHAHAHAHHAHAHAAHAHAHAHAHAHA TALO KA SA PACQUIAO,ako 'yung kinakabahan sa pag takas nila sa prison break eh hhahahhaha amp,"antaba ko shet,, thanks micz more kaharutan tO COME HAHAAHA PIC NA TAYOO",thankuu dtom!! ,,tanong mo kay mami sol,"thank you nak, mwah ",THANKS MIKAAAAA ACK LAPIT SCHOOL NATIN OH SANA MAGKITA NA TAYOO ULIT HUHU,thanks bijj shET EXPOSEDT BAT MAY RH HAHAHAHAHAHHAHAHA
18,moykamusic, ,I am proud,"This music blog has the cutest name ever!! And it also happened to write some very nice and cute things about Spaces. I’m so happy!! Thank you, MEOW Mag https://meowmag.co.uk/music/moyka-spaces",Spotti still so flotti. Thank you so much Spotify Norway for supporting my new single “Spaces”. You can listen to it on New Music Friday here: https://spoti.fi/2JTtLzV,This is incredible! Feel so honoured that @Nico_Jak wanted to draw me and put it together alongside these legends ,This is wonderful! ,It is!!!!!!,"They will, soon ", ,"I feel so bad when people say they can relate, but it also feels like we are stronger in this together. Which is a great feeling. I’m sending you lots of love Sofi "
18,veeangelalala,https://curiouscat.me/angeluhhhhh h3lloooo,2yrs? pwede nayan. HAHAHAHHA CHARR THANKYOUUU SHINA MAE MISSYOUTOOO ILOVEYOUUTOOO SEEYOU SOONESTTT ,my loml cheated on me hehe,rawr rawr rawr https://twitter.com/mimiyuuuh/status/1248607406503968768,Silver,thankyouuu norjjjj ,pamela four sa iba na sya na fall,thankyouuu prite beb ,thanksss cute ,thankyouuu te ricsss 
18,preciousgm11,I mean that’s even if I WANNA go ,Kinda tired of checking up on people who clearly ain’t care how I’m doing.,Am I invited? ,"Idc, Tory Lanez = ",You don’t need nobody else.,"I ain’t even sad, I just vibe to sad music. ","Whatever she can do, I can do better.",Thank you beautiful ,"Turning 18 in quarantine sucks, happy mf birthday to me ",My teachers text me more than what my own friends do 
18,kristinejhoyy13,DI AKO NAHIHIYA SAKANYA DI RIN SYA NAHIHIYA SAKIN HAHAHAHAHHAHA IM STILL LUCKY TO HAVE YOU UWU ,HAHAHAHAHAHAHHAHA MISS KITA AGAD EFFECTIVE,Natamaan nga HAHAHAHHAHA,Thank youuu ,HAHAHHAHAHA SPEECHLESS,Galing nga ,Yung isa dyan di ako nirereplayan miss kona agad matamaan ka sana HAHHAHAHHAHHAHA,Oo nga sa isa nalang HAHAHAHHAHA,Kilala mo? hahahahahhaha,Thank youuuuu 
18,angela_nicole02,thank you ,quarantined birthday car parade ,thank you so much nikki ,thank you natabee i love and miss you ,i love you too thank you!!!!,thank you yeli ,thank you dupopsocket !!! i love you ,lol i love you thank you ,excuse me “were” ??!!!,"i miss our convos so much, thank you Liza "
18,aerynpickford,thank you!,shout it from the rooftops,11 year old me with the bad fringe disagrees lmao,i choose my hair based on how i look thanks non existent jawline,i low key want the Alt Mullet but having a fringe again is too much commitment and i’m not cool enough,please be successful i want the collab x,,catch me in 10 years completely unemployed,i would like my entire career to be writing the song for the epiphany jumping into a pool moment in every coming of age film and absolutely nothing else,i would like to apologise to my friends for being That friend
18,loismckean,thanks babe i have ,"thanks sm cole, it has been xx",thanks sm beaut ,"thanks gorg, it has been ",thanks my babe xx,thank u beaut big love xx,thanks so much doll xx,thank u babe ,thanks my doll it has been xx,thanks sm luke xo
18,ratedlq,GOODMORNING!! ,Thank you fam ,Thank youuu ,love u moree ,thank youuu ,Thank you , ,im a clown ,thank u po ,thank youuu 
18,Earle,The south shore is a special place!,peak trickle down anti-intellectualism,I'd rather rip my nails off entirely!, ,Uhhhh.....a better suggestion would have been not to tweet that.,What’s in the burn bag? ,"At least he didn't throw in ""big data"" and ""AI""...",Nevermind,Heroes.,“Our”.....?
18,The,"just realized about 99% of my life now is on a screen. Work, entertainment, learning, even exercise. Anyone else getting more headaches than usual?",I get a relentless amount of spam calls from Indonesia (like 15 a day). The numbers are different every call so I can’t just block them. Can I block calls from an entire country on iPhone? The silence unknown calls feature doesnt work as they just clog my voicemail., , ,Donate some to me on her behalf? ;),This video does a good job explaining social distancing., for the healthcare workers ,,"I'm confused why the Netherlands is waiting until COVID-19 gets as bad as Italy to do something. There is a reason places like Hong Kong and Singapore are reporting less and less cases, because they took it seriously.",Ik find de school super leuk
18,asstaedick,now why-,finally ,who we gotta beat up,US,i am so sorry.... ,THANK YOU!!! ,ALL HAIL ANAL,chile...LOOK AT ME AND MY BOO ,thank you ,exactly. i couldn’t have said it any better
18,MoirRaegan,Ahahahha awwww thank you so much babes can’t wait to see u soon !! So much love for you ,Aww thank yah chicken ,Aw thank u sm amy! It’s been fab Xo ,Thank you hun xo ,Aw thank you gal ly xo ,Aw thank you babes sure I’ll see u oot soon xo ,Aw thank u gal ! Xo ,Aww thank u so much geo! missing u too hopefully see u soon xo ,Aw thank u babes xo ,Aw thank you gal 
18,tbjzlachy,Thank youu ,Thank you! ,Thank you! ,Thank you! ,Thank youu the hangovers actually my favourite film lmao but I’m glad,Thank you!! ,Thank youu ,Thank youu!! ,The big 18 ,ofc it’s lachlan 
18,OrlaHain,,,,,,,,,,
18,PriyankaMahesw7,He sniffled “I’m really sorry connie” he whined and began to cry again,:((((,He sniffled and looked down at his hands “I’m sorry” he croaked our,I MISS YOU XX,THANK YOU BABES XX YOU ARE ALSO AN AMAZING PERSON XX,Thanks for all the birthday wishes you guys xx,He grabbed some water for him whilst George looked over at Connie,He held him closely and wiped his tears “Do you want some water?”,He smiled “There we go THATS better huh?”,He kept rubbing his back gently until he calmed
18,Hammonton,"All the sudden, out of nowhere, we just don’t go out anymore!",@hammonton,You can't play Great defense in the NFL you can only play less defense,Amazing!,@hammonton,Boost!!!,"The challenge is not in finding the flaws in the world, that’s easy. The challenge is finding the beauty that exists everywhere!",The first step to enlightenment is thinking u may be wrong!?!? The next step is thinking EVERYONE may be wrong!,The doorstep to the temple of wisdom is the knowledge of one's own ignorance. -Benjamin Franklin,It is better that ten guilty persons escape than that one innocent suffer.
18,libbyolson11,Thank you Anna. Miss you sm hopefully we can hang soon ,Thank you Casey :),Thank you Ella Hopefully we can make new memories this year once quarantine is over. Miss you tons ,Thanks kiera Miss and love you sm. Can’t wait to be able to hangout ,Thank you Jacob Thanks for making my day so special ,Thank you Raea ! miss you ,Thank you Ellie ! miss you so much ,Thank you Tia ,Thank you drielle can’t wait to hang with you soon. love and miss u lots ! ,Thank you Lauren So sorry that you will have to be quarantined on ur bday too :( Miss you sm we will have to celebrate soon 
18,dylanobrien,Damn bro chill,Thanks for being so nice to my mom! ,Thanks for being so nice to my mom! ,https://apple.co/amazingstories March 6th ,PARASITE!!!! ,Wtf?,Waking up to “Adderall” “Slurring” and “Teleprompter” trending and knowing immediately that our president must be addressing the nation. What a fucking time to be alive.,Whoa! Fucking sick!!,Fucking idiots,Incredible 
18,sophieinnes0,,,,,,,,,,
18,jillian4902,Thank you so mich girllll!!!! ,Thank you sooo much ,Kat that was so sweet. I don’t know what I did to have such an uplifting friend. I love you biggg time!!,I couldn’t ask for a better friend wow. I love you,I saw this. ,I’ll be 18 Tomorrow and I know I’m about to be embarrassed with these pictures ,My senior year lasted two months...,I’ve had 8 months of pure loneliness... where the heck is my soulmate ,"“Finally, brothers and sisters, whatever is true, whatever is noble, whatever is right, whatever is pure, whatever is lovely, whatever is admirable—if anything is excellent or praiseworthy—think about such things.” Philippians 4:8 lets keep our minds on the good not the bad!",Thank yaaaa 
18,TribPhD,I'm playing WordBrain and I've just reached brain size 600! #WordBrain #words,@jeffpearlman I agree with you but it depends on the activities in the preceding 24 hrs,@farmerjimm2003 we're all good! Enjoying Cali,@farmerjimm2003 long time how you been,If you've ever played sports you've seen the heat affect different players in different ways...not even a fan of #LBJ but stop hating!!!,Gimme a break...the Gruden Manziel love fest begins!!!,Love this Boatright kid's game!!! #hustle,Lupita representing for dark skinned women every!!! #blackgirlsrock,How do you hit someone's car and just leave!!!! #hitandrun,Hard to watch the Olympics when you know what's gonna happen! Still watching though!
18,CastawayOA,Than k you!! Miss you so much xx,I think I’d throw up,Happy birthday to my favourite (only) twin!! Love youu,Some of us do just say glass ya know ,"Love and miss you, hopefully it won’t be too long! xx",I miss you :(,Miss you loads xx,I miss this,Can’t wait to hear it!!,Hope that won’t be too long :(
