username,tweet
KerenAsi4,Happy birthday to this beautiful queen Happy 25th birthday gigi im so blessed i called you are my idol we love you gigi
sofyloveszayn,yes jelena noura hadid is literally everything to me. this enlightened person is today completing his 25th birthday and I can hardly believe it. happy bday (again) i really hope you enjoy your special day surrounded by people you love and who are special to you #HappyGigiDay
Ren54762905,"@Jack_Septic_Eye Hey Sean my name is serenity but I prefer Ren. I love your videos so much and I was wondering if you would wish me a Happy Birthday,I know you might not see this but I’m still hopeful. I’ll be 17 April 25th. #QuarantineGang"
seoyeonmaina,"(23/04) Happy 25th birthday, Jo Byung Kyu Oppa/Hyung! #KDrama #KActorActress #JoByungKyu #HanJaeHee #StoveLeague https://www.instagram.com/p/B_TqGJYJr6h/?igshid=15jwm6a3itidy"
thecraftyauthor,"Happy Birthday, Brandon! We’re almost birthday twins! Mine is on the 25th!"
mss_crystal,@lifeaslala_ happy birthday sis 
AnneVergis,Happy 25th birthday @GiGiHadid !! Thank u for inspiring me. You really are a model not only in a runway but in real life. I wish u all the best things in life. Take care &amp; God bless always. I love youuuu!
MinsooRaa,"Happy 25th birthday,Gigi!!! I miss you so much.Hoping to you see soon along with a beautiful healthy world again.. Wishing a good luck for the rest of your life Gigi Again a happy birthday!! "
Herecomekay,Happy Birthday handsome
1sabrinarose,Happy blessed 25th birthday to our son @CJROSE24 CJ we are so proud of you and love you more! Enjoy your new year of life to the fullest and on purpose all gas and no brakes with your hands up #happybirthday… https://www.instagram.com/p/B_TmbShpbKH/?igshid=qkjddy2g7e5
paigemaster12,JIM CARREY! ITS MY DADS 50th BIRTHDAY ON THE 25th! Can you please make a video telling him happy birthday! His name is George and he loves you as an actor! I would really appreciate it 
StiffyAvery132,Happy 25th birthday @GiGiHadid hope u have a awesome day 
Certified_Loud,@TyraSharelle I Normally Tell U Happy Birthday Er' Year But I Missed It This Time. Happy Belated Birthday!
WriteThingsPr25,I still opt to watch the theatrical cut of #LittleShopOfHorrors on the Blu-Ray because I prefer happy endings and also I enjoy 'Mean Green Mother From Outer Space' too much to watch a version of the movie that doesn't have that song! #BirthdayMonth2020
drewdogg6998,Your April 25th show was suppose to be my 40th bday party any way can sing happy birthday to me on that day ? @LZZYHALE @ASKLZZYANYTHING
GIGIIHADlD,"This is the owner of this account speaking. Here, me, as G-Serpents wanna say Happy Birthday for the real Gigi Hadid, The real Queen G. Its your 25th bday, may god always blessing you. And protect you. Put you around good circle keep you save physically and emotionally "
ryanleach32,Happy 25th birthday @Isaacrochell90!!!
tyaendrawila29,"Happy 25th Birthday Gigi Hadid. 23rd April, 1995 @GiGiHadid"
aericaj425,HAPPY BIRTHDAY @Prodikal_son!!!! #taurusgang
giforceangel,"GOOD MORNING HAPPY 25TH BIRTHDAY @GiGiHadid !!! You're whole personality is so lovable that's why A LOT of people loves you so much. You have come a long long way in the industry, and i'm so proud of you!! Thank you for being the kindest and most hardworking! I LOVE YOU so much!!"
ashleyiscool815,Honey Can You say Happy birthday to me In April 25th And I'm a HUGE Fan Of Megan Plays and You :D
MissAlishah,"HAPPY 25th BIRTHDAY 25, healthy, happy and WILD "
nxbzzzx,"HAPPY 25TH BIRTHDAY TO MY BIGGG SISTER, you are literally the most amazing n prettiest human alive n no one can tell u other wise this year is big big for us Alhamdulillah n bring on more blessings inshallah ps. They hate us coz they ain’t us #facts."
Kevo_Bevo,@justsportsgirl Happy 25th Birthday!
BLE5SING,Happy 25th Birthday to my lil bro @ShowtimeManny
Tricky_1984,Happy 25th birthday hope you had a good day I know it's not the usual way you would have spent it but save it for when we all allowed out again xx
jamesmtbfreak,"Happy 25th Birthday!! Wish you many, many more. Here, s 25 birthday cakes, sent with love. "
_GGme,"happiest 25th birthday to my queen... to the most perfect person who never stop inspiring me..happy birthday to u, my everything @gigihadid I LUV U, I LUV U, I LUV U, I LUV U"
CincyboyW,@GiGiHadid happy pre 25th birthday love ya hope ur dreams come true everyday #LAgirl #BestModelintheWorld 
urladynico,happiest 25th birthday to the most stunning creative women I’ve ever seen..happy birthday to my one &amp; only cutie pie @gigihadid ♡︎♡︎♡︎
hadidsclique,@GiGiHadid happy 25th birthday queen 
heavsoul,happiest 25th birthday to my little pie..to the most kindly sweet loved soul who never stop inspiring me..happy birthday to the one &amp; only @gigihadid ♡︎♡︎♡︎♡︎
ggpocker,Happy 25th Birthday beautiful creature! #SongKang
